ADMIN_DATE,RECIP_ID
2020-12-14,178
2020-12-15,564
2020-12-16,1383
2020-12-17,1697
2020-12-18,2671
2020-12-19,432
2020-12-20,92
2020-12-21,2609
2020-12-22,4952
2020-12-23,9252
2020-12-24,1786
2020-12-25,1
2020-12-26,605
2020-12-27,492
2020-12-28,8656
2020-12-29,7490
2020-12-30,9646
2020-12-31,5054
2021-01-01,233
2021-01-02,1969
2021-01-03,1378
2021-01-04,6104
2021-01-05,7459
2021-01-06,8650
2021-01-07,8198
2021-01-08,10481
2021-01-09,3362
2021-01-10,1330
2021-01-11,7816
2021-01-12,8909
2021-01-13,9033
2021-01-14,9427
2021-01-15,7302
2021-01-16,3804
2021-01-17,1458
2021-01-18,8536
2021-01-19,8329
2021-01-20,12196
2021-01-21,10241
2021-01-22,10160
2021-01-23,3156
2021-01-24,2293
2021-01-25,10546
2021-01-26,10412
2021-01-27,16701
2021-01-28,13907
2021-01-29,14758
2021-01-30,3962
2021-01-31,2445
2021-02-01,12311
2021-02-02,14233
2021-02-03,19593
2021-02-04,15478
2021-02-05,28114
2021-02-06,17326
2021-02-07,6425
2021-02-08,14847
2021-02-09,18756
2021-02-10,28065
2021-02-11,27803
2021-02-12,31427
2021-02-13,14440
2021-02-14,4339
2021-02-15,11613
2021-02-16,13436
2021-02-17,22729
2021-02-18,21009
2021-02-19,20379
2021-02-20,7083
2021-02-21,2019
2021-02-22,7528
2021-02-23,14313
2021-02-24,25804
2021-02-25,26970
2021-02-26,29421
2021-02-27,15377
2021-02-28,4620
2021-03-01,13295
2021-03-02,19019
2021-03-03,33081
2021-03-04,37720
2021-03-05,48249
2021-03-06,24957
2021-03-07,6612
2021-03-08,21353
2021-03-09,28926
2021-03-10,33055
2021-03-11,42205
2021-03-12,45950
2021-03-13,21786
2021-03-14,5001
2021-03-15,16798
2021-03-16,30811
2021-03-17,35294
2021-03-18,39024
2021-03-19,33870
2021-03-20,15094
2021-03-21,5732
2021-03-22,14730
2021-03-23,22827
2021-03-24,37548
2021-03-25,49079
2021-03-26,40778
2021-03-27,18681
2021-03-28,5415
2021-03-29,20395
2021-03-30,28645
2021-03-31,38591
2021-04-01,46049
2021-04-02,32917
2021-04-03,16202
2021-04-04,2550
2021-04-05,22150
2021-04-06,37247
2021-04-07,44053
2021-04-08,51541
2021-04-09,50000
2021-04-10,24290
2021-04-11,8226
2021-04-12,22231
2021-04-13,28854
2021-04-14,33047
2021-04-15,37077
2021-04-16,33403
2021-04-17,19285
2021-04-18,6944
2021-04-19,15808
2021-04-20,30700
2021-04-21,32671
2021-04-22,36437
2021-04-23,32264
2021-04-24,18145
2021-04-25,4826
2021-04-26,15958
2021-04-27,25017
2021-04-28,29374
2021-04-29,29386
2021-04-30,29824
2021-05-01,12715
2021-05-02,5284
2021-05-03,14515
2021-05-04,19250
2021-05-05,22209
2021-05-06,23203
2021-05-07,21783
2021-05-08,12766
2021-05-09,4387
2021-05-10,10016
2021-05-11,14062
2021-05-12,16437
2021-05-13,20982
2021-05-14,24216
2021-05-15,13665
2021-05-16,6553
2021-05-17,13236
2021-05-18,15754
2021-05-19,16933
2021-05-20,15078
2021-05-21,18917
2021-05-22,8275
2021-05-23,3625
2021-05-24,8504
2021-05-25,9157
2021-05-26,9818
2021-05-27,9160
2021-05-28,9116
2021-05-29,3900
2021-05-30,2026
2021-05-31,747
2021-06-01,7096
2021-06-02,7319
2021-06-03,8140
2021-06-04,11167
2021-06-05,6366
2021-06-06,3413
2021-06-07,8078
2021-06-08,7723
2021-06-09,8882
2021-06-10,8026
2021-06-11,10261
2021-06-12,4940
2021-06-13,2645
2021-06-14,6869
2021-06-15,6412
2021-06-16,6538
2021-06-17,5630
2021-06-18,6923
2021-06-19,2939
2021-06-20,1606
2021-06-21,3949
2021-06-22,4362
2021-06-23,4780
2021-06-24,4309
2021-06-25,5055
2021-06-26,2650
2021-06-27,1355
2021-06-28,3752
2021-06-29,1524
2021-06-30,1209
